fbref_name,fpl_name,previous_league,multiplier,fbref_season,fbref_team,fbref_position,appearances,goals,assists,xG,xA,shots_per_90,goals_per_90,assists_per_90,yellow_cards,red_cards,clean_sheets,saves,save_percentage,adjusted_goals,adjusted_assists,adjusted_goals_per_90,adjusted_assists_per_90,season_reliability,data_confidence,is_new_to_pl,fpl_position,fpl_team,fpl_price
Chuba Akpom,Chuba Akpom,Eredivisie,0.75,2024-25,Ajax,FW,16.0,3.0,1.0,0.0,0.0,2.38,0.32,0.11,0.0,0.0,0.0,0.0,0.0,2.25,0.75,0.24,0.0825,0.5,,1,FWD,Ipswich Town,5.0
Ibrahim Osman,Ibrahim Osman,Eredivisie,0.75,2024-25,Feyenoord,"MF,FW",22.0,3.0,3.0,0.0,0.0,2.16,0.34,0.34,2.0,0.0,0.0,0.0,0.0,2.25,2.25,0.255,0.255,0.5,,1,MID,Brighton,5.0
Sean Steur,Sean Steur,Eredivisie,0.75,2024-25,Ajax,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Newcastle,5.0
Quinten Timber,Quinten Timber,Ligue 1,0.82,2024-25,Feyenoord,MF,18.0,6.0,0.0,0.0,0.0,2.39,0.39,0.0,5.0,0.0,0.0,0.0,0.0,4.92,0.0,0.3198,0.0,1.0,,1,MID,Crystal Palace,5.0
Steven Benda,Steven Benda,Eredivisie,0.75,2025-26,Feyenoord,GK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,GK,Nott'm Forest,4.5
Vitezslav Jaros,Vitezslav Jaros,Eredivisie,0.75,2025-26,Ajax,GK,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,62.0,72.9,0.0,0.0,0.0,0.0,1.0,,1,GK,Liverpool,4.0
James McConnell,James McConnell,Eredivisie,0.75,2025-26,Ajax,MF,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Liverpool,4.5
Kayne van Oevelen,Kayne van Oevelen,Keuken Kampioen Divisie,1.0,2025-26,Volendam,GK,32.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,3.0,149.0,74.5,0.0,0.0,0.0,0.0,1.0,,1,GK,Ipswich Town,4.5
Sean Steur,Sean Steur,Eredivisie,0.75,2025-26,Ajax,MF,19.0,1.0,1.0,0.0,0.0,1.2,0.08,0.08,2.0,0.0,0.0,0.0,0.0,0.75,0.75,0.06,0.06,1.0,,1,MID,Newcastle,5.0
Quinten Timber,Quinten Timber,Ligue 1,0.82,2025-26,Feyenoord,MF,17.0,2.0,4.0,0.0,0.0,1.57,0.14,0.27,1.0,0.0,0.0,0.0,0.0,1.64,3.28,0.1148,0.2214,1.0,,1,MID,Crystal Palace,5.0
Jannik Schuster,Jannik Schuster,Bundesliga,0.89,N/A,Brentford,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,DEF,Brentford,4.5
Zadok Yohanna,Zadok Yohanna,Allsvenskan,1.0,N/A,Brighton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,MID,Brighton,5.0
Emmanuel Emegha,Emmanuel Emegha,Ligue 1,0.82,N/A,Chelsea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,low,1,FWD,Chelsea,5.0
