team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength
Arsenal,2019-20,18,0,1,False,Everton,0,0,0,0,1.6,2.2,0.0,1.0,5.0,1.3333333333333333,2.3333333333333335,1.5555555555555556,1.125,1.7777777777777777,1.625,0.5384615384615385,0.0
Arsenal,2019-20,19,1,1,False,Bournemouth,0,0,1,1,1.2,2.0,0.0,1.0,4.0,1.0,2.0,1.5555555555555556,1.0,1.7777777777777777,1.5555555555555556,0.3846153846153847,0.2727272727272727
Arsenal,2019-20,20,1,2,True,Chelsea,0,0,0,0,1.0,1.8,0.0,1.0,4.0,0.3333333333333333,1.6666666666666667,1.5555555555555556,1.0,1.7777777777777777,1.5,0.28571428571428575,0.2499999999999999
Arsenal,2019-20,21,2,0,True,Man Utd,1,1,0,3,1.0,1.8,0.0,1.0,4.0,0.6666666666666666,1.3333333333333333,1.5,1.0,1.8,1.5,0.30769230769230776,0.30000000000000004
Arsenal,2019-20,22,1,1,False,Crystal Palace,0,0,1,1,0.8,1.4,0.2,1.0,4.0,1.3333333333333333,1.0,1.5454545454545454,1.0,1.6363636363636365,1.5,0.2,0.36363636363636376
Arsenal,2019-20,23,1,3,True,Sheffield Utd,0,0,0,0,1.0,1.0,0.2,1.0,5.0,1.3333333333333333,1.0,1.5454545454545454,1.0,1.6363636363636365,1.4545454545454546,0.28571428571428575,0.6153846153846154
Arsenal,2019-20,24,2,2,False,Chelsea,0,0,1,1,1.2,1.4,0.2,1.0,5.0,1.3333333333333333,1.3333333333333333,1.5,1.0,1.75,1.4545454545454546,0.3846153846153847,0.36363636363636376
Arsenal,2019-20,25,0,0,False,Burnley,1,0,1,1,1.4,1.6,0.2,1.0,5.0,1.3333333333333333,2.0,1.5,1.0833333333333333,1.75,1.5,0.49999999999999994,0.36363636363636354
Arsenal,2019-20,26,3,0,True,Newcastle,1,1,0,3,1.2,1.2,0.4,1.0,6.0,1.0,1.6666666666666667,1.5,1.0,1.75,1.3846153846153846,0.44444444444444436,0.5
Arsenal,2019-20,27,3,2,True,Everton,0,1,0,3,1.4,1.2,0.4,1.0,6.0,1.6666666666666667,0.6666666666666666,1.6153846153846154,1.0,1.6153846153846154,1.3846153846153846,0.5555555555555554,0.5833333333333333
Arsenal,2019-20,29,1,0,True,West Ham,1,1,0,3,1.8,1.4,0.4,2.0,8.0,2.0,0.6666666666666666,1.7142857142857142,1.0,1.6428571428571428,1.3846153846153846,0.8181818181818181,0.5
Arsenal,2019-20,39,1,3,False,Brighton,0,0,0,0,1.8,0.8,0.6,3.0,11.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,1.5333333333333334,1.3846153846153846,0.888888888888889,0.7272727272727272
Arsenal,2019-20,40,1,0,False,Southampton,1,1,0,3,1.6,1.0,0.6,3.0,10.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.5333333333333334,1.5,0.7777777777777778,0.7272727272727273
