player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value,was_home,transfers_in,transfers_out,opponent_team_id
519,1,1,90,0,0,0,0,0,4.5,0,0,0,4
118,1,0,0,0,0,0,0,0,4.5,1,0,0,18
332,1,0,0,0,0,0,0,0,4.5,0,0,0,5
176,1,1,90,0,0,0,0,0,4.5,1,0,0,13
43,1,1,90,0,0,0,0,0,5.5,0,0,0,15
101,1,2,90,0,0,0,4,0,4.5,1,0,0,18
409,1,0,0,0,0,0,0,0,4.0,1,0,0,2
629,1,0,0,0,0,0,0,0,4.5,0,0,0,7
292,1,0,0,0,0,0,0,0,5.0,0,0,0,7
267,1,4,32,0,1,0,0,0,5.5,0,0,0,9
198,1,0,0,0,0,0,0,0,5.0,1,0,0,11
280,1,0,0,0,0,0,0,0,5.0,0,0,0,9
494,1,0,0,0,0,0,0,0,5.0,0,0,0,4
467,1,1,18,0,0,0,0,0,4.5,0,0,0,1
404,1,0,0,0,0,0,0,0,4.0,1,0,0,2
133,1,1,16,0,0,0,0,0,5.0,1,0,0,12
480,1,2,90,0,0,0,0,0,4.5,1,0,0,8
98,1,1,41,0,0,0,0,0,5.0,1,0,0,18
577,1,0,0,0,0,0,0,0,4.5,0,0,0,3
474,1,2,79,0,0,0,0,0,4.0,1,0,0,8
516,1,2,74,0,0,0,0,0,9.0,0,0,0,4
298,1,0,0,0,0,0,0,0,4.5,0,0,0,7
80,1,0,0,0,0,0,0,0,4.0,1,0,0,19
536,1,0,0,0,0,0,0,0,4.5,0,0,0,3
506,1,0,0,0,0,0,0,0,5.0,0,0,0,4
159,1,1,16,0,0,0,0,0,5.5,1,0,0,13
197,1,2,90,0,0,0,0,0,4.5,1,0,0,11
460,1,0,0,0,0,0,0,0,4.0,0,0,0,1
534,1,2,85,0,0,0,0,0,5.0,0,0,0,3
314,1,2,63,0,0,0,0,0,5.0,0,0,0,5
103,1,4,90,0,1,0,0,0,4.5,1,0,0,18
627,1,0,0,0,0,0,0,0,4.5,0,0,0,7
531,1,0,0,0,0,0,0,0,5.0,0,0,0,3
619,1,0,0,0,0,0,0,0,4.0,1,0,0,19
432,1,0,0,0,0,0,0,0,5.5,1,0,0,2
422,1,0,0,0,0,0,0,0,4.0,1,0,0,2
388,1,0,0,0,0,0,0,0,4.5,1,0,0,20
246,1,0,0,0,0,0,0,0,6.0,1,0,0,10
351,1,0,0,0,0,0,0,0,4.5,0,0,0,6
100,1,0,0,0,0,0,0,0,4.5,1,0,0,18
330,1,0,0,0,0,0,0,0,4.5,0,0,0,5
135,1,7,87,1,0,0,0,1,5.5,1,0,0,12
544,1,2,90,0,0,0,0,0,4.5,0,0,0,3
461,1,0,0,0,0,0,0,0,4.5,0,0,0,1
486,1,0,0,0,0,0,0,0,5.5,1,0,0,8
337,1,0,0,0,0,0,0,0,4.5,0,0,0,5
348,1,0,0,0,0,0,0,0,4.5,0,0,0,6
510,1,0,0,0,0,0,0,0,4.0,0,0,0,4
258,1,2,71,0,0,1,0,0,5.0,1,0,0,10
221,1,6,90,0,1,1,0,0,5.5,0,0,0,17
538,1,0,0,0,0,0,0,0,4.5,0,0,0,3
306,1,0,0,0,0,0,0,0,4.0,0,0,0,7
309,1,2,90,0,0,0,0,0,7.0,0,0,0,7
320,1,0,0,0,0,0,0,0,5.0,0,0,0,5
209,1,3,67,0,0,1,0,0,7.0,1,0,0,20
91,1,0,0,0,0,0,0,0,4.0,1,0,0,18
64,1,2,74,0,0,0,0,0,5.0,1,0,0,19
134,1,2,90,0,0,0,0,0,6.5,1,0,0,12
50,1,2,63,0,0,0,0,0,5.5,0,0,0,15
505,1,0,0,0,0,0,0,0,4.5,0,0,0,4
239,1,0,0,0,0,0,0,0,4.5,0,0,0,17
119,1,9,71,1,0,0,0,3,6.0,1,0,0,18
578,1,0,0,0,0,0,0,0,5.0,1,0,0,16
394,1,1,13,0,0,0,0,0,4.5,1,0,0,20
69,1,1,15,0,0,0,0,0,4.0,1,0,0,19
561,1,0,0,0,0,0,0,0,4.5,0,0,0,14
147,1,0,0,0,0,0,0,0,4.0,1,0,0,12
363,1,0,0,0,0,0,0,0,4.5,0,0,0,6
278,1,1,32,0,0,0,0,0,7.5,0,0,0,9
115,1,1,18,0,0,0,0,0,5.5,1,0,0,18
457,1,0,0,0,0,0,0,0,4.5,0,0,0,1
581,1,0,0,0,0,0,0,0,4.0,1,0,0,2
405,1,5,90,0,1,0,0,1,4.5,1,0,0,2
271,1,8,90,0,0,1,0,2,4.5,0,0,0,9
17,1,2,90,0,0,0,1,0,5.0,1,0,0,16
286,1,0,0,0,0,0,0,0,4.5,0,0,0,9
290,1,1,90,0,0,0,0,0,8.0,0,0,0,7
184,1,-2,30,0,0,0,0,0,5.0,1,0,0,13
131,1,7,90,0,1,0,0,3,5.0,1,0,0,12
328,1,1,14,0,0,0,0,0,5.0,0,0,0,5
295,1,1,13,0,0,0,0,0,5.0,0,0,0,7
576,1,2,79,0,0,0,0,0,4.5,1,0,0,8
12,1,5,85,0,1,0,0,0,8.0,1,0,0,16
183,1,0,0,0,0,0,0,0,5.5,1,0,0,13
44,1,0,0,0,0,0,0,0,5.0,0,0,0,15
345,1,0,0,0,0,0,0,0,4.5,0,0,0,6
523,1,1,77,0,0,1,0,0,6.0,0,0,0,3
214,1,0,0,0,0,0,0,0,4.5,1,0,0,11
589,1,0,0,0,0,0,0,0,5.0,1,0,0,11
639,1,1,90,0,0,0,0,0,4.5,0,0,0,4
