id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
733,Adedokun,Valintino,Adedokun,2,DEF,4,0.0,4.0,40
744,Peart-Harris,Myles,Peart-Harris,3,MID,4,0.0,4.5,45
752,Angelini,Vincent,Angelini,1,GK,4,0.0,4.0,40
789,Valdimarsson,Hákon,Valdimarsson,1,GK,4,0.0,4.0,40
797,Fredrick,Benjamin,Fredrick,2,DEF,4,0.0,4.0,40
834,Arthur,Benjamin,Arthur,2,DEF,4,0.0,4.0,40
864,Konak,Yunus,Konak,3,MID,4,0.0,4.5,45
122,Adingra,Simon,Adingra,3,MID,5,0.6,5.0,50
123,Alzate,Steven,Alzate,3,MID,5,0.0,4.5,45
124,Ayari,Yasin,Ayari,3,MID,5,0.0,4.5,45
125,Buonanotte,Facundo,Buonanotte,3,MID,5,0.1,5.0,50
127,Connolly,Aaron,Connolly,4,FWD,5,0.0,4.5,45
128,Dahoud,Mahmoud,Dahoud,3,MID,5,0.1,5.0,50
129,Dunk,Lewis,Dunk,2,DEF,5,5.3,5.0,50
130,Enciso,Julio,Enciso,3,MID,5,0.4,5.5,55
131,Estupiñan,Pervis,Estupiñán,2,DEF,5,14.5,5.0,50
132,Ferguson,Evan,Ferguson,4,FWD,5,3.5,6.0,60
133,Gilmour,Billy,Gilmour,3,MID,5,0.2,5.0,50
134,Gross,Pascal,Groß,3,MID,5,4.1,6.5,65
135,João Pedro,João Pedro,Junqueira de Jesus,4,FWD,5,6.1,5.5,55
136,Karbownik,Michał,Karbownik,2,DEF,5,0.0,4.0,40
137,Kozłowski,Kacper,Kozłowski,3,MID,5,0.0,4.5,45
138,Lallana,Adam,Lallana,3,MID,5,0.0,5.0,50
139,Lamptey,Tariq,Lamptey,2,DEF,5,3.6,4.0,40
140,March,Solly,March,3,MID,5,2.0,6.5,65
141,McGill,Tom,McGill,1,GK,5,0.2,4.0,40
142,Milner,James,Milner,3,MID,5,0.1,5.0,50
143,Mitoma,Kaoru,Mitoma,3,MID,5,11.8,6.5,65
144,Moder,Jakub,Moder,3,MID,5,0.1,4.5,45
146,Sarmiento,Jeremy,Sarmiento Morante,3,MID,5,0.0,4.5,45
147,Scherpen,Kjell,Scherpen,1,GK,5,0.0,4.0,40
148,Steele,Jason,Steele,1,GK,5,1.7,4.5,45
149,Undav,Deniz,Undav,4,FWD,5,0.0,5.5,55
150,Van Hecke,Jan Paul,van Hecke,2,DEF,5,2.1,4.0,40
151,Veltman,Joël,Veltman,2,DEF,5,0.6,4.5,45
152,Verbruggen,Bart,Verbruggen,1,GK,5,1.2,4.5,45
153,Webster,Adam,Webster,2,DEF,5,0.3,4.5,45
154,Welbeck,Danny,Welbeck,4,FWD,5,1.0,6.0,60
155,Zeqiri,Andi,Zeqiri,4,FWD,5,0.4,4.5,45
606,Igor,Igor Julio,dos Santos de Paulo,2,DEF,5,0.2,4.5,45
621,Hinshelwood,Jack,Hinshelwood,3,MID,5,0.0,4.5,45
690,Baleba,Carlos,Baleba,3,MID,5,0.0,4.5,45
700,Ansu Fati,Anssumane,Fati Vieira,3,MID,5,0.4,6.5,65
