Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
288,Connor Randall,eng ENG,"DF,MF",Ross County,26,1995,24,23,2025,22.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
289,Nicolas Raskin,be BEL,MF,Rangers,21,2001,12,11,849,9.4,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,Scottish Premiership,2022-23
290,Dylan Reid,sct SCO,MF,St Mirren,17,2005,2,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
291,Bailey Rice,sct SCO,DF,Rangers,15,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
292,Jayden Richardson,eng ENG,"DF,MF",Aberdeen,21,2000,19,16,1428,15.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
293,Cal Roberts,eng ENG,"FW,MF",Aberdeen,25,1997,3,0,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
294,Scott Robinson,sct SCO,FW,Kilmarnock,30,1992,16,6,627,7.0,2,0,2,2,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,Scottish Premiership,2022-23
295,Kemar Roofe,jm JAM,"FW,MF",Rangers,29,1993,3,0,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches,Scottish Premiership,2022-23
296,Kelle Roos,nl NED,GK,Aberdeen,30,1992,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
297,Luca Ross,sct SCO,FW,Motherwell,15,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
298,Kye Rowles,au AUS,DF,Hearts,24,1998,29,27,2422,26.9,1,1,2,1,0,0,4,1,0.04,0.04,0.07,0.04,0.07,Matches,Scottish Premiership,2022-23
299,Zak Rudden,sct SCO,FW,St Johnstone,22,2000,12,2,283,3.1,1,0,1,1,0,0,2,0,0.32,0.00,0.32,0.32,0.32,Matches,Scottish Premiership,2022-23
300,Fashion Sakala,zm ZAM,"MF,FW",Rangers,25,1997,29,22,1800,20.0,12,7,19,12,0,0,1,0,0.60,0.35,0.95,0.60,0.95,Matches,Scottish Premiership,2022-23
301,Alex Samuel,wls WAL,FW,Ross County,26,1995,10,3,339,3.8,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches,Scottish Premiership,2022-23
302,Dominic Samuel,eng ENG,MF,Ross County,28,1994,11,3,306,3.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
303,Jack Sanders,eng ENG,DF,Kilmarnock,23,1999,4,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
304,James Sands,us USA,"DF,MF",Rangers,22,2000,17,10,921,10.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
305,Liam Scales,ie IRL,DF,Aberdeen,23,1998,31,30,2671,29.7,1,2,3,1,0,0,8,2,0.03,0.07,0.10,0.03,0.10,Matches,Scottish Premiership,2022-23
306,Lawrence Shankland,sct SCO,"FW,MF",Hearts,26,1995,37,33,3037,33.7,24,4,28,13,11,11,5,0,0.71,0.12,0.83,0.39,0.50,Matches,Scottish Premiership,2022-23
307,Joe Shaughnessy,ie IRL,DF,St Mirren,30,1992,22,14,1412,15.7,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches,Scottish Premiership,2022-23
308,Oli Shaw,sct SCO,"FW,MF",Kilmarnock,23,1998,12,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
309,Connor Shields,ie IRL,"FW,MF",Motherwell,25,1997,19,15,1127,12.5,0,2,2,0,0,0,1,1,0.00,0.16,0.16,0.00,0.16,Matches,Scottish Premiership,2022-23
310,Andrew Shinnie,sct SCO,MF,Livingston,33,1989,33,21,1864,20.7,1,2,3,1,0,0,4,0,0.05,0.10,0.14,0.05,0.14,Matches,Scottish Premiership,2022-23
