player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Dias Tiago,ptPOR,4.0,Casa Pia,26,1998,0.8,,1,,,,,,,,,,,0,,,,Matches
Diomande Ousmane,ciCIV,2.0,Sporting CP,20,2003,28.0,,20,,,,,,,,,,,31,,,,Matches
Djaló Tiago,ptPOR,2.0,Porto,24,2000,6.6,,7,,,,,,,,,,,3,,,,Matches
Dominguez Maxime,chSUI,3.0,Gil Vicente FC,28,1996,2.8,,5,,,,,,,,,,,4,,,,Matches
Dramé Issiar,mlMLI,2.0,Estrela,25,1999,17.7,,10,,,,,,,,,,,23,,,,Matches
Dudu,brBRA,3.4,Nacional,24,1999,14.9,,19,,,,,,,,,,,7,,,,Matches
Eduardo Carlos,brBRA,4.0,Gil Vicente FC,21,2002,2.7,,1,,,,,,,,,,,0,,,,Matches
Edwards Marcus,engENG,3.0,Sporting CP,25,1998,1.2,,0,,,,,,,,,,,0,,,,Matches
Ege Tıknaz Demir,trTUR,3.0,Rio Ave,19,2004,22.0,,38,,,,,,,,,,,47,,,,Matches
Elimbi Marvin,frFRA,2.0,Gil Vicente FC,21,2003,4.8,,4,,,,,,,,,,,5,,,,Matches
Elisor Simon,frFRA,4.0,Famalicão,25,1999,6.6,,0,,,,,,,,,,,2,,,,Matches
Embaló Úmaro,ptPOR,3.0,Vitória Guimarães,23,2001,1.6,,2,,,,,,,,,,,1,,,,Matches
Encarnação Rui,ptPOR,1.0,Nacional,26,1998,1.5,,0,,,,,,,,,,,0,,,,Matches
Esgaio Ricardo,ptPOR,2.0,Sporting CP,31,1993,2.6,,3,,,,,,,,,,,3,,,,Matches
Esgaio Tiago,ptPOR,2.0,Arouca,28,1995,24.2,,38,,,,,,,,,,,38,,,,Matches
Essugo Dario,ptPOR,3.0,Sporting CP,19,2005,0.2,,0,,,,,,,,,,,0,,,,Matches
Esteves Luís,ptPOR,3.0,Nacional,26,1998,31.2,,34,,,,,,,,,,,16,,,,Matches
Eustáquio Stephen,caCAN,2.4,Porto,27,1996,21.3,,31,,,,,,,,,,,23,,,,Matches
Evanilson,brBRA,4.0,Porto,24,1999,0.1,,0,,,,,,,,,,,0,,,,Matches
Falcão Claudio,brBRA,2.3,Farense,30,1994,31.7,,62,,,,,,,,,,,42,,,,Matches
Felicíssimo Eduardo,ptPOR,3.0,Sporting CP,17,2007,2.2,,6,,,,,,,,,,,5,,,,Matches
Felix Nuno,ptPOR,3.0,Benfica,20,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
Félix Vando,gwGNB,3.0,Vitória Guimarães,21,2002,6.1,,4,,,,,,,,,,,7,,,,Matches
Fernandes Jorge Filipe Oliveira,ptPOR,2.0,Vitória Guimarães,27,1997,4.6,,7,,,,,,,,,,,4,,,,Matches
Fernandes Lucas,brBRA,3.0,AVS Futebol,26,1997,5.5,,3,,,,,,,,,,,1,,,,Matches
Fernandes Martim,ptPOR,2.0,Porto,18,2006,14.6,,15,,,,,,,,,,,11,,,,Matches
Fernandes Mateus,ptPOR,3.0,Sporting CP,20,2004,0.3,,0,,,,,,,,,,,0,,,,Matches
Fernandes Roger,ptPOR,3.0,Braga,18,2005,19.3,,18,,,,,,,,,,,21,,,,Matches
Fernandes Rúben,ptPOR,2.0,Gil Vicente FC,38,1986,27.8,,13,,,,,,,,,,,29,,,,Matches
Férnandez Roberto,esESP,4.0,Braga,22,2002,5.6,,1,,,,,,,,,,,0,,,,Matches
Ferreira Barros João,ptPOR,3.0,Boavista,18,2006,2.9,,9,,,,,,,,,,,3,,,,Matches
Ferreira Filipe,ptPOR,2.0,Boavista,33,1990,24.7,,16,,,,,,,,,,,26,,,,Matches
Ferreira Fonseca Fernando,ptPOR,2.3,AVS Futebol,27,1997,21.2,,38,,,,,,,,,,,32,,,,Matches
Ferreira João,ptPOR,2.0,Braga,23,2001,14.6,,20,,,,,,,,,,,12,,,,Matches
Ferreira Marcelo dos Santos,brBRA,2.0,Moreirense,35,1989,33.0,,31,,,,,,,,,,,32,,,,Matches
Ferreira Pedro,ptPOR,3.0,Santa Clara,26,1998,20.3,,51,,,,,,,,,,,36,,,,Matches
Ferreira Tiago,ptPOR,4.0,Estrela,22,2002,0.6,,2,,,,,,,,,,,1,,,,Matches
Figueira Daniel,ptPOR,1.0,Estoril,26,1998,1.0,,0,,,,,,,,,,,0,,,,Matches
Fogning Sidoine,cmCMR,2.0,Boavista,22,2001,13.0,,19,,,,,,,,,,,14,,,,Matches
Fonseca Morais Tiago,ptPOR,3.4,Rio Ave,20,2003,17.4,,17,,,,,,,,,,,11,,,,Matches
Fontán José,esESP,2.0,Arouca,24,2000,28.8,,15,,,,,,,,,,,28,,,,Matches
Fonte José,ptPOR,2.0,Casa Pia,40,1983,22.5,,13,,,,,,,,,,,26,,,,Matches
França Lucas,brBRA,1.0,Nacional,28,1996,32.5,,0,,,,,,,,,,,0,,,,Matches
Franco André,ptPOR,3.0,Porto,26,1998,4.8,,1,,,,,,,,,,,5,,,,Matches
Freitas Afonso,ptPOR,3.0,Nacional,24,2000,0.2,,0,,,,,,,,,,,0,,,,Matches
Fresneda Iván,esESP,2.4,Sporting CP,19,2004,10.7,,17,,,,,,,,,,,10,,,,Matches
Frimpong Godfried,nlNED,2.0,Moreirense,25,1999,28.2,,20,,,,,,,,,,,44,,,,Matches
Fujimoto Kanya,jpJPN,3.0,Gil Vicente FC,25,1999,24.7,,10,,,,,,,,,,,10,,,,Matches
Fukui Taichi,jpJPN,3.0,Arouca,20,2004,24.3,,32,,,,,,,,,,,31,,,,Matches
Furtado Rúben,ptPOR,3.0,Braga,18,2005,0.6,,0,,,,,,,,,,,0,,,,Matches
Gabriel Tiago,ptPOR,2.0,Estrela,19,2004,10.9,,12,,,,,,,,,,,20,,,,Matches
Galeno,brBRA,2.4,Porto,26,1997,16.1,,12,,,,,,,,,,,14,,,,Matches
Galletto Tiago,uyURU,3.0,AVS Futebol,22,2002,1.0,,0,,,,,,,,,,,0,,,,Matches
Galović Nino,hrCRO,2.0,Arouca,32,1992,1.0,,0,,,,,,,,,,,1,,,,Matches
Garcês João Tiago Serrão,ptPOR,3.0,Nacional,31,1993,0.2,,0,,,,,,,,,,,0,,,,Matches
García,brBRA,2.0,Nacional,22,2002,31.1,,50,,,,,,,,,,,41,,,,Matches
Garcia Fabrício,cvCPV,3.4,Estoril,23,2001,14.1,,18,,,,,,,,,,,6,,,,Matches
García Santiago,esESP,3.0,Gil Vicente FC,22,2001,16.4,,28,,,,,,,,,,,15,,,,Matches
Gaspar Bruno,aoANG,2.0,Vitória Guimarães,31,1993,10.2,,14,,,,,,,,,,,5,,,,Matches
