player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Lobato Samuel,ptPOR,3.0,Famalicão,22,2001,0.8,1,0,0,6,2,0,0,0,2,,,0,Matches
Looi Tom van,nlNED,3.0,Famalicão,25,1999,19.5,4,0,0,30,19,1,12,15,25,,,0,Matches
Lopes Miguel,ptPOR,2.0,Estrela,37,1986,12.7,3,0,0,11,16,1,1,18,15,,,0,Matches
Lopes Rony,ptPOR,3.4,Farense,28,1995,12.5,4,0,0,9,18,1,83,6,11,,,0,Matches
Lopes Vasco,cvCPV,3.4,AVS Futebol,24,1999,11.6,6,0,0,18,35,3,36,5,8,,,0,Matches
Loum Mamadou,snSEN,2.4,Arouca,27,1996,7.9,4,1,0,15,7,0,1,12,8,,,0,Matches
Lucca Jonatan,brBRA,3.0,AVS Futebol,30,1994,3.0,1,0,0,0,2,0,3,2,2,,,0,Matches
Luís Florentino,ptPOR,3.0,Benfica,24,1999,21.9,7,0,0,36,14,1,5,53,49,,,0,Matches
Luís Zé,cvCPV,4.0,AVS Futebol,33,1991,15.4,4,0,0,15,32,4,5,1,5,,,0,Matches
Luismi,gqEQG,4.0,Moreirense,23,2001,15.2,1,0,0,28,9,9,4,4,12,,,0,Matches
Lystsov Vitali,ruRUS,2.0,Boavista,29,1995,5.3,2,0,0,7,3,0,3,8,9,,,0,Matches
Macedo Rúben,ptPOR,3.4,Nacional,28,1996,13.3,0,0,0,11,29,2,78,2,6,,,0,Matches
Machado Tiago,ptPOR,4.0,Boavista,20,2004,1.4,0,0,0,3,1,1,3,0,1,,,0,Matches
Madson,brBRA,3.0,Moreirense,24,1999,13.0,1,0,0,13,43,8,45,10,13,,,0,Matches
Maga Miguel,ptPOR,2.0,Vitória Guimarães,21,2002,15.5,2,0,0,21,12,0,38,14,22,,,0,Matches
Mamageishvili Otar,geGEO,3.0,Famalicão,21,2003,0.5,2,0,0,3,0,0,0,0,0,,,0,Matches
Mangala Eliaquim,frFRA,2.0,Estoril,33,1991,4.7,4,0,0,14,0,0,1,8,6,,,0,Matches
Mangas Ricardo,ptPOR,3.5,Vitória Guimarães,26,1998,3.8,0,0,0,4,7,2,7,0,3,,,0,Matches
Mansilla Brian,uyURU,3.0,Arouca,22,2002,3.8,0,0,0,4,4,2,12,0,4,,,0,Matches
Mantl Nico,deGER,1.0,Arouca,24,2000,29.0,6,0,0,2,2,0,0,1,0,,,0,Matches
Manú,aoANG,4.0,Estrela,18,2005,0.5,1,0,0,2,0,1,0,0,1,,,0,Matches
Manu Manuel,ptPOR,3.0,Vitória Guimarães,23,2001,7.6,2,0,0,16,5,0,6,11,16,,,0,Matches
Manu Manuel,ptPOR,3.0,Benfica,23,2001,1.5,1,0,0,3,4,0,0,7,4,,,0,Matches
Maracás,brBRA,2.0,Moreirense,30,1994,26.6,6,0,0,21,15,2,0,27,20,,,0,Matches
Marcano Iván,esESP,2.0,Porto,37,1987,10.5,0,0,0,10,4,0,10,13,7,,,0,Matches
Marín Adrián,esESP,2.0,Braga,27,1997,7.9,0,0,0,9,2,1,13,16,6,,,0,Matches
Mário João,ptPOR,3.0,Benfica,31,1993,1.7,1,0,0,1,2,0,10,0,2,,,0,Matches
Mário Lopes João,ptPOR,2.4,Porto,24,2000,19.6,5,0,0,30,27,1,78,9,20,,,0,Matches
Marozaŭ Uładzisłaŭ,byBLR,4.0,Arouca,23,2000,3.1,0,0,0,2,4,4,1,1,2,,,0,Matches
Marqués Alejandro,veVEN,4.0,Estoril,23,2000,18.8,1,0,0,33,24,2,2,8,5,,,0,Matches
Marques Alex,ptPOR,2.0,Boavista,18,2005,1.1,0,0,0,1,1,0,0,1,1,,,0,Matches
Marques João,ptPOR,4.0,Braga,22,2002,0.4,1,0,0,2,0,0,2,0,1,,,0,Matches
Marques João,ptPOR,3.0,Gil Vicente FC,22,2002,6.5,3,0,0,8,12,1,11,3,12,,,0,Matches
Martínez Gabri,esESP,3.0,Braga,21,2003,17.1,4,0,0,18,30,11,55,7,33,,,0,Matches
Martínez Toni,esESP,4.0,Porto,27,1997,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Martins Bernardo,ptPOR,3.4,Moreirense,26,1997,18.2,7,0,0,44,35,1,22,12,24,,,0,Matches
Matheus,brBRA,1.0,Braga,32,1992,17.0,1,0,0,0,5,0,0,0,1,,,0,Matches
Matheusinho,brBRA,3.0,Santa Clara,26,1998,1.3,1,0,0,3,2,0,0,2,1,,,0,Matches
Matias Marco,ptPOR,3.5,Farense,35,1989,14.0,2,0,0,27,39,7,75,11,10,,,0,Matches
