player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Cardona Sergi,esESP,2.0,Villarreal,25,1999,32.7,11,0,0,38,28,3,112,41,49,,,0,Matches
Cardoso Johnny,usUSA,3.0,Real Betis,22,2001,23.8,4,0,0,38,27,0,3,50,31,,,0,Matches
Carlos González José,esESP,3.0,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Carmona,esESP,2.0,Sevilla,22,2002,32.7,11,0,0,49,44,1,43,68,59,,,0,Matches
Carreira Sergio,esESP,3.0,Celta Vigo,23,2000,18.4,1,0,0,19,7,4,42,17,17,,,0,Matches
Carvajal Dani,esESP,2.0,Real Madrid,32,1992,6.8,1,0,0,3,6,0,14,10,8,,,0,Matches
Carvalho William,ptPOR,3.0,Real Betis,32,1992,5.4,1,0,0,7,3,0,2,3,7,,,0,Matches
Casado Marc,esESP,3.0,Barcelona,20,2003,17.9,4,1,1,26,36,0,9,24,24,,,0,Matches
Catena,esESP,2.0,Osasuna,29,1994,34.2,11,0,0,36,14,1,2,31,28,,,0,Matches
Caufriez Maximiliano,beBEL,2.0,Valencia,27,1997,1.0,0,0,0,3,0,0,0,1,1,,,0,Matches
Ceballos Dani,esESP,3.0,Real Madrid,27,1996,13.5,4,0,0,13,30,0,14,16,21,,,0,Matches
Cervi Franco,arARG,3.4,Celta Vigo,30,1994,3.0,1,0,0,4,1,0,6,8,3,,,0,Matches
Chasco Raúl,esESP,2.0,Valladolid,20,2003,1.4,0,0,0,3,0,0,3,2,1,,,0,Matches
Chavarría Pep,esESP,2.0,Rayo Vallecano,26,1998,28.7,3,0,0,30,25,3,80,30,36,,,0,Matches
Cheddira Walid,maMAR,4.0,Espanyol,26,1998,7.1,3,0,0,30,27,11,2,1,0,,,0,Matches
Chema,esESP,3.0,Real Madrid,19,2005,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Chicco Julián,arARG,2.4,Leganés,26,1998,3.4,0,0,0,1,3,0,3,4,7,,,0,Matches
Chiquinho,ptPOR,3.0,Mallorca,24,2000,1.6,2,0,0,6,7,0,9,1,0,,,0,Matches
Christensen Andreas,dkDEN,2.0,Barcelona,28,1996,2.8,3,0,0,5,0,0,0,4,3,,,0,Matches
Cillessen Jasper,nlNED,1.0,Las Palmas,35,1989,25.9,1,0,0,0,5,0,0,0,0,,,0,Matches
Ciss Pathé,snSEN,2.4,Rayo Vallecano,30,1994,23.8,12,0,0,45,25,0,5,36,25,,,0,Matches
Cissé Seydouba,gnGUI,3.0,Leganés,23,2001,27.1,3,1,0,39,25,2,10,14,36,,,0,Matches
Clúa Silvi,esESP,3.0,Girona,19,2005,1.8,0,0,0,5,0,0,0,2,6,,,0,Matches
Cömert Eray,chSUI,2.3,Valladolid,26,1998,19.8,6,0,0,18,16,0,0,22,16,,,0,Matches
Comesaña Santi,esESP,3.0,Villarreal,27,1996,28.4,7,0,0,37,27,1,15,21,49,,,0,Matches
Conde Diego,esESP,1.0,Villarreal,25,1998,21.8,2,0,0,0,1,0,0,1,2,,,0,Matches
Conechny Tomás,arARG,3.4,Alavés,26,1998,9.4,8,0,0,28,11,5,31,6,11,,,0,Matches
Copete,esESP,2.0,Mallorca,24,1999,17.0,6,0,0,27,13,0,7,18,18,,,0,Matches
Córdoba Iker,esESP,2.0,Valencia,18,2005,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Correa Ángel,arARG,4.0,Atlético Madrid,29,1995,8.9,3,1,0,18,11,4,24,5,3,,,0,Matches
Correia Thierry,ptPOR,2.0,Valencia,25,1999,8.5,1,0,0,15,14,0,18,3,17,,,0,Matches
Costa Coba,esESP,3.0,Getafe,22,2002,11.2,4,0,0,10,10,0,41,10,13,,,0,Matches
