player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Köhlert Mats,deGER,2.3,Heerenveen,24,1998,29.9,3,0,0,27,33,4,91,37,33,,,0,Matches
Kökçü Orkun,trTUR,3.0,Feyenoord,21,2000,30.0,6,0,0,23,27,0,146,17,20,,,0,Matches
Koopmeiners Peer,nlNED,2.3,AZ Alkmaar,22,2000,1.1,0,0,0,2,0,1,1,1,2,,,0,Matches
Koopmeiners Peer,nlNED,3.0,Excelsior,22,2000,16.1,1,0,0,25,6,0,8,17,30,,,0,Matches
Kozłowski Kacper,plPOL,3.0,Vitesse,18,2003,23.2,4,0,0,26,43,4,61,12,21,,,0,Matches
Kramer Joris,nlNED,2.0,NEC Nijmegen,25,1996,12.9,1,0,0,13,1,0,1,26,7,,,0,Matches
Kramer Michiel,nlNED,4.0,RKC Waalwijk,33,1988,22.2,6,0,0,29,22,12,4,10,4,,,0,Matches
Krüger Florian,deGER,3.4,Groningen,23,1999,12.4,1,0,0,14,7,1,23,3,12,,,0,Matches
Kudus Mohammed,ghGHA,3.5,Ajax,21,2000,19.9,1,0,0,26,42,19,15,7,21,,,0,Matches
Kuijpers Roy,nlNED,4.0,RKC Waalwijk,22,2000,4.2,1,0,0,2,6,3,29,3,4,,,0,Matches
Kuipers Bas,nlNED,2.0,Go Ahead Eagles,27,1994,21.2,1,0,0,22,11,3,79,27,11,,,0,Matches
Labyad Zakaria,maMAR,3.5,Utrecht,29,1993,2.8,1,0,0,4,1,0,6,0,3,,,0,Matches
Lahdo Mayckel,seSWE,4.0,AZ Alkmaar,19,2002,6.2,1,0,0,3,7,3,12,5,9,,,0,Matches
Lamprou Lazaros,grGRE,3.4,Excelsior,24,1997,16.4,1,0,0,5,16,3,42,7,12,,,0,Matches
Lannoy Maurilio,nlNED,4.0,Emmen,18,2003,0.2,0,0,0,0,1,0,1,0,0,,,0,Matches
Lartey Sanniez Terry,nlNED,2.0,NEC Nijmegen,25,1996,1.7,0,0,0,0,1,0,0,2,4,,,0,Matches
Lauritsen Tobias,noNOR,4.0,Sparta Rotterdam,24,1997,32.8,4,0,0,24,46,9,8,8,4,,,0,Matches
Lauwers Barry,nlNED,1.0,Volendam,22,1999,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Ledezma Richy,usUSA,3.0,PSV,21,2000,1.5,0,0,0,5,5,0,2,2,1,,,0,Matches
Leeuwenburgh Peter,nlNED,1.0,Groningen,28,1994,7.5,0,1,0,1,0,0,0,1,0,,,0,Matches
Lelieveld Julian,nlNED,2.3,RKC Waalwijk,24,1997,29.2,4,0,0,19,19,2,41,34,40,,,0,Matches
Lidberg Isac,seSWE,4.0,Go Ahead Eagles,23,1998,30.7,2,0,0,33,36,16,14,7,11,,,0,Matches
Linthorst Evert,nlNED,3.0,Go Ahead Eagles,22,2000,16.1,2,0,0,23,9,1,16,16,21,,,0,Matches
Llansana Enric,nlNED,3.0,Go Ahead Eagles,21,2001,12.5,3,0,0,21,4,0,8,23,27,,,0,Matches
Lobete Julen,esESP,4.0,RKC Waalwijk,21,2000,14.8,2,0,0,13,40,10,10,3,2,,,0,Matches
Lokesa Chris,beBEL,3.0,RKC Waalwijk,17,2004,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
Lokilo Jason,beBEL,3.0,Sparta Rotterdam,23,1998,3.0,0,0,0,1,13,1,10,1,2,,,0,Matches
López Marcos,pePER,2.0,Feyenoord,22,1999,8.9,1,0,0,7,19,1,26,24,16,,,0,Matches
Lottin Albert,frFRA,3.0,Utrecht,20,2001,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Lourens Dano,nlNED,4.0,Sparta Rotterdam,18,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Lucca Lorenzo,itITA,4.0,Ajax,21,2000,1.7,1,0,0,4,4,2,0,0,0,,,0,Matches
Lundqvist Ramon,seSWE,3.0,Groningen,25,1997,3.8,1,0,0,3,5,2,4,1,2,,,0,Matches
Lutonda Thierry,beBEL,2.3,RKC Waalwijk,21,2000,27.8,1,0,0,24,21,0,50,42,42,,,0,Matches
Luzayadio Arnaud,frFRA,2.0,Emmen,23,1999,0.5,0,0,0,0,1,0,3,0,0,,,0,Matches
Määttä Isak,noNOR,2.3,Groningen,20,2001,29.9,6,1,1,26,28,4,79,21,25,,,0,Matches
Mac-Intosch Calvin,srSUR,2.0,Cambuur,32,1989,7.6,1,0,0,4,2,0,0,11,13,,,1,Matches
Madueke Noni,engENG,4.0,PSV,20,2002,3.1,2,0,0,2,3,0,20,0,4,,,0,Matches
Maeda Naoki,jpJPN,3.5,Utrecht,27,1994,2.9,0,0,0,0,3,2,6,3,3,,,0,Matches
Magallán Lisandro,arARG,2.0,Ajax,28,1993,0.2,0,0,0,2,0,0,0,0,0,,,0,Matches
Mahi Mimoun,maMAR,3.5,Utrecht,28,1994,0.4,0,0,0,0,1,0,2,0,0,,,0,Matches
Mahi Mimoun,maMAR,4.0,Cambuur,28,1994,5.9,1,0,0,6,9,0,31,9,4,,,0,Matches
Mambimbi Felix,chSUI,4.0,Cambuur,21,2001,3.3,0,0,0,2,10,1,8,4,2,,,0,Matches
Manhoef Million,nlNED,3.4,Vitesse,20,2002,25.8,0,0,0,34,23,15,77,9,16,,,0,Matches
Manu Elvis,nlNED,3.5,Groningen,28,1993,6.8,0,0,0,12,15,8,8,3,5,,,0,Matches
Markelo Jahnoah,srSUR,4.0,Go Ahead Eagles,19,2003,1.1,0,0,0,0,3,0,11,1,1,,,0,Matches
Markelo Nathan,cwCUW,2.0,Excelsior,23,1999,4.1,2,0,0,8,8,0,4,7,3,,,0,Matches
Marques Pedro David Rosendo,ptPOR,4.0,NEC Nijmegen,24,1998,9.1,1,0,0,8,10,1,1,0,1,,,0,Matches
