player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Decostere Robbe,beBEL,2.0,Cercle Brugge,25,1998,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Defourny Théo,beBEL,1.0,RWDM,31,1992,29.8,1,1,0,3,2,0,0,1,1,,,0,Matches
Degreef Tristan,beBEL,3.0,Anderlecht,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Delaney Thomas,dkDEN,2.4,Anderlecht,31,1991,16.4,6,0,0,29,20,1,17,25,22,,,0,Matches
Delavallée Martin,beBEL,1.0,Charleroi,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Delcroix Hannes,htHAI,2.0,Anderlecht,24,1999,0.1,0,0,0,1,0,0,0,1,1,,,0,Matches
Delorge Mathias,beBEL,3.0,Sint-Truiden,19,2004,39.4,6,0,0,24,39,0,19,62,55,,,0,Matches
Deman Olivier,beBEL,3.0,Cercle Brugge,23,2000,4.2,1,0,0,5,4,1,20,9,12,,,0,Matches
Denkey Kévin,tgTOG,4.0,Cercle Brugge,22,2000,37.6,8,0,0,72,60,39,10,4,15,,,0,Matches
Deom Jerome,beBEL,3.0,Eupen,24,1999,10.1,1,1,0,18,7,1,27,8,16,,,0,Matches
Depoitre Laurent,beBEL,4.0,Gent,34,1988,5.5,0,0,0,3,4,2,0,0,1,,,0,Matches
Dewaele Gilles,beBEL,2.4,Standard Liège,27,1996,8.0,2,0,0,10,10,0,26,10,15,,,0,Matches
Diallo Sada,beBEL,2.0,RWDM,21,2002,1.0,1,0,0,2,0,0,0,1,1,,,0,Matches
Diawara Amadou,gnGUI,3.0,Anderlecht,26,1997,6.6,1,0,0,9,9,0,0,11,9,,,0,Matches
Djenepo Moussa,mlMLI,3.0,Standard Liège,25,1998,18.5,3,0,0,29,43,4,45,11,15,,,0,Matches
Dodeigne Noah,beBEL,2.0,Standard Liège,20,2003,0.4,0,0,0,0,0,0,3,0,0,,,0,Matches
Dolberg Kasper,dkDEN,4.0,Anderlecht,25,1997,32.5,2,0,0,40,47,9,12,7,10,,,0,Matches
Dom Joren,beBEL,2.4,OH Leuven,33,1989,18.0,2,0,0,24,14,0,22,22,11,,,0,Matches
Doudaev Djovkar,beBEL,2.0,RWDM,19,2003,2.3,0,0,0,2,1,0,1,4,3,,,0,Matches
Doumbia Mahamadou,mlMLI,3.0,Antwerp,19,2004,5.2,1,0,0,3,7,0,3,1,7,,,0,Matches
Doumbia Souleyman,ciCIV,2.3,Standard Liège,26,1996,9.2,2,0,0,12,14,0,9,12,16,,,0,Matches
Dragsnes Vetle,noNOR,2.4,Charleroi,29,1994,25.5,1,0,0,8,14,11,51,21,38,,,0,Matches
Drăguș Denis,roROU,4.0,Standard Liège,24,1999,3.5,1,0,0,7,3,1,4,1,5,,,0,Matches
Dreyer Anders,dkDEN,3.5,Anderlecht,25,1998,33.0,2,1,0,9,25,17,109,11,12,,,0,Matches
Dumont Olivier,beBEL,3.0,Sint-Truiden,21,2002,2.0,1,0,0,4,1,0,3,2,3,,,0,Matches
Dupé Maxime,frFRA,1.0,Anderlecht,30,1993,7.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Dwomoh Pierre,beBEL,3.0,RWDM,19,2004,26.4,7,0,0,33,19,1,12,30,36,,,0,Matches
Dønnum Aron,noNOR,3.4,Standard Liège,25,1998,4.8,2,0,0,5,5,0,24,1,0,,,0,Matches
Ebiowei Malcolm,engENG,3.0,RWDM,19,2003,1.8,1,0,0,2,2,0,8,2,4,,,0,Matches
