player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Irvine Jackson,auAUS,3.0,St Pauli,31,1993,29.0,2,0,0,38,16,2,17,35,29,,,0,Matches
Itakura Ko,jpJPN,2.0,Gladbach,27,1997,31.0,5,0,0,28,12,1,8,28,29,,,0,Matches
Ito Hiroki,jpJPN,2.0,Bayern Munich,25,1999,2.8,1,0,0,2,3,0,2,4,0,,,0,Matches
Ivezić Marko,rsSRB,2.0,Holstein Kiel,22,2001,18.4,5,0,0,27,5,1,2,26,18,,,0,Matches
Jae-sung Lee,krKOR,3.0,Mainz 05,31,1992,29.4,4,0,0,23,40,9,31,37,24,,,0,Matches
Jakić Kristijan,hrCRO,3.0,Augsburg,27,1997,25.6,2,0,0,22,28,3,14,29,24,,,0,Matches
Jaquez Luca,chSUI,2.0,Stuttgart,21,2003,2.8,0,0,0,4,0,0,1,3,0,,,0,Matches
Javorček Dominik,skSVK,2.4,Holstein Kiel,21,2002,4.3,2,0,0,7,6,1,21,5,0,,,0,Matches
Jeltsch Finn,deGER,2.0,Stuttgart,18,2006,8.7,2,0,0,7,5,0,3,13,14,,,0,Matches
Jensen Fredrik,fiFIN,3.4,Augsburg,26,1997,8.5,0,0,0,5,5,3,21,5,7,,,0,Matches
Jenz Moritz,deGER,2.0,Mainz 05,25,1999,17.8,4,0,0,27,6,1,0,29,23,,,0,Matches
Johansson Carl,seSWE,2.0,Holstein Kiel,30,1994,6.3,0,1,0,5,4,0,0,11,2,,,0,Matches
Jung Anthony,deGER,2.0,Werder Bremen,32,1991,21.1,1,0,0,9,15,2,4,26,21,,,0,Matches
Juranović Josip,hrCRO,2.4,Union Berlin,28,1995,12.9,4,0,0,8,6,1,77,6,13,,,0,Matches
Jurásek David,czCZE,2.3,Hoffenheim,23,2000,6.9,0,0,0,1,2,1,55,7,3,,,0,Matches
Kabadayı Yusuf,deGER,4.0,Augsburg,20,2004,0.8,0,0,0,1,1,1,1,0,0,,,0,Matches
Kabar Almugera,deGER,2.0,Dortmund,18,2006,1.5,2,1,1,2,2,0,1,1,3,,,0,Matches
Kaboré Issa,bfBFA,3.0,Werder Bremen,23,2001,3.4,0,0,0,4,8,1,19,2,5,,,0,Matches
