player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Geubbels Willem,frFRA,3.4,Nantes,19,2001,6.0,,5,,,,,,,,,,,6,,,,Matches
Gharbi Ismaël,tnTUN,3.0,Paris Saint-Germain,17,2004,0.0,,0,,,,,,,,,,,0,,,,Matches
Ghezali Lamine,frFRA,3.0,Saint-Étienne,22,1999,0.0,,0,,,,,,,,,,,0,,,,Matches
Gioacchini Nicholas,usUSA,3.0,Montpellier,21,2000,5.5,,5,,,,,,,,,,,4,,,,Matches
Giraudon Jimmy,frFRA,2.0,Troyes,29,1992,18.0,,7,,,,,,,,,,,36,,,,Matches
Girotto Andrei,brBRA,2.3,Nantes,29,1992,35.0,,50,,,,,,,,,,,65,,,,Matches
Golovin Aleksandr,ruRUS,3.0,Monaco,25,1996,16.7,,23,,,,,,,,,,,12,,,,Matches
Gomes Angel,engENG,3.0,Lille,20,2000,10.6,,13,,,,,,,,,,,3,,,,Matches
Gomis Alfred,snSEN,1.0,Rennes,27,1993,25.0,,1,,,,,,,,,,,1,,,,Matches
Gonçalves Vagner,cvCPV,3.5,Metz,25,1996,1.0,,1,,,,,,,,,,,1,,,,Matches
González Álvaro,esESP,2.3,Marseille,31,1990,5.0,,3,,,,,,,,,,,1,,,,Matches
Gouiri Amine,dzALG,3.5,Nice,21,2000,30.6,,15,,,,,,,,,,,11,,,,Matches
Gourna-Douath Lucas,frFRA,3.0,Saint-Étienne,17,2003,20.0,,27,,,,,,,,,,,11,,,,Matches
Gradit Jonathan,frFRA,2.0,Lens,28,1992,34.1,,32,,,,,,,,,,,67,,,,Matches
Gravillon Andrew,gpGLP,2.0,Reims,23,1998,23.7,,24,,,,,,,,,,,31,,,,Matches
Grbić Adrian,atAUT,4.0,Lorient,24,1996,5.8,,1,,,,,,,,,,,0,,,,Matches
Grbić Ivo,hrCRO,1.0,Lille,25,1996,21.0,,0,,,,,,,,,,,0,,,,Matches
Green Etienne,engENG,1.0,Saint-Étienne,21,2000,13.3,,1,,,,,,,,,,,1,,,,Matches
Gudmundsson Gabriel,seSWE,2.3,Lille,22,1999,14.9,,31,,,,,,,,,,,18,,,,Matches
Guendouzi Mattéo,frFRA,3.0,Marseille,22,1999,35.0,,30,,,,,,,,,,,13,,,,Matches
Guermouche Yanis,frFRA,3.0,Montpellier,20,2001,0.1,,1,,,,,,,,,,,0,,,,Matches
Guessand Evann,ciCIV,4.0,Nice,20,2001,4.9,,9,,,,,,,,,,,0,,,,Matches
Gueye Lamine,snSEN,3.4,Metz,23,1998,6.2,,4,,,,,,,,,,,3,,,,Matches
Gueye Pape,snSEN,2.4,Marseille,22,1999,17.0,,20,,,,,,,,,,,24,,,,Matches
Guilavogui Josuha,frFRA,2.4,Bordeaux,30,1990,14.8,,17,,,,,,,,,,,35,,,,Matches
Guilbert Frederic,frFRA,2.3,Strasbourg,26,1994,28.0,,38,,,,,,,,,,,54,,,,Matches
Guimarães Bruno,brBRA,3.0,Lyon,23,1997,18.2,,32,,,,,,,,,,,22,,,,Matches
Guirassy Serhou,gnGUI,4.0,Rennes,25,1996,11.3,,3,,,,,,,,,,,1,,,,Matches
Gusto Malo,frFRA,2.3,Lyon,18,2003,20.9,,36,,,,,,,,,,,28,,,,Matches
Haïdara Massadio,mlMLI,2.4,Lens,28,1992,12.0,,20,,,,,,,,,,,24,,,,Matches
Hajjam Oualid,maMAR,2.0,Troyes,30,1991,11.9,,13,,,,,,,,,,,22,,,,Matches
Hakimi Achraf,maMAR,2.3,Paris Saint-Germain,22,1998,27.5,,49,,,,,,,,,,,27,,,,Matches
Hamel Pierre-Yves,frFRA,4.0,Lorient,27,1994,0.3,,0,,,,,,,,,,,1,,,,Matches
Hamel Pierre-Yves,frFRA,4.0,Clermont Foot,27,1994,5.8,,7,,,,,,,,,,,0,,,,Matches
Hamouma Romain,frFRA,3.5,Saint-Étienne,34,1987,9.8,,7,,,,,,,,,,,3,,,,Matches
Harit Amine,maMAR,3.4,Marseille,24,1997,12.9,,9,,,,,,,,,,,3,,,,Matches
Henrique,brBRA,2.3,Lyon,27,1994,12.3,,8,,,,,,,,,,,21,,,,Matches
Henrique Luis,brBRA,3.4,Marseille,19,2001,7.8,,3,,,,,,,,,,,4,,,,Matches
Hérelle Christophe,mqMTQ,2.0,Brest,28,1992,21.5,,28,,,,,,,,,,,44,,,,Matches
