player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Diaw Mory,snSEN,1.0,Clermont Foot,30,1993,30.0,3,0,0,0,3,0,0,1,1,,,0,Matches
Diawara Mahamadou,frFRA,3.0,Lyon,18,2005,4.0,2,0,0,10,7,0,2,4,6,,,0,Matches
Dieng Bamba,snSEN,4.0,Lorient,23,2000,6.1,3,0,0,7,19,6,5,0,4,,,0,Matches
Dietsch Guillaume,frFRA,1.0,Metz,22,2001,0.8,0,0,0,0,0,0,0,0,0,,,0,Matches
Diomande Sinaly,ciCIV,2.0,Lyon,22,2001,9.9,2,0,0,11,8,0,1,15,4,,,0,Matches
Diop Edan,frFRA,3.0,Monaco,18,2004,1.8,3,0,0,7,3,0,2,1,8,,,0,Matches
Diop Sofiane,maMAR,3.5,Nice,23,2000,5.5,0,0,0,9,12,8,13,3,5,,,0,Matches
Diouf Andy,frFRA,3.0,Lens,20,2003,14.6,2,0,0,12,15,0,46,2,19,,,0,Matches
Diouf Yehvann,snSEN,1.0,Reims,23,1999,34.0,1,0,0,0,9,0,0,1,0,,,0,Matches
Djebali Chaim,tnTUN,3.0,Lyon,19,2004,0.1,0,0,0,1,0,0,1,0,0,,,0,Matches
Doku Jeremy,beBEL,4.0,Rennes,21,2002,1.2,0,0,0,2,4,0,1,0,2,,,0,Matches
Donnarumma Gianluigi,itITA,1.0,Paris Saint-Germain,24,1999,24.1,3,1,0,2,0,0,0,1,0,,,0,Matches
Doucouré Siriné,mlMLI,4.0,Lorient,21,2002,4.7,2,0,0,10,6,2,1,1,5,,,0,Matches
Doué Désiré,frFRA,3.0,Rennes,18,2005,18.1,3,0,0,35,55,2,70,14,19,,,0,Matches
Doué Guela,ciCIV,2.0,Rennes,20,2002,13.7,1,1,0,29,11,0,43,15,21,,,0,Matches
Douglas,brBRA,3.0,Nantes,26,1997,19.7,7,0,0,48,24,0,20,26,42,,,0,Matches
Doukouré Ismaël,frFRA,2.4,Strasbourg,20,2003,18.4,4,0,0,19,11,0,0,19,15,,,1,Matches
Doumbia Kamory,mlMLI,3.0,Brest,20,2003,9.8,1,0,0,16,10,1,8,10,18,,,0,Matches
Duverne Jean-Kevin,htHAI,2.0,Nantes,26,1997,15.0,5,0,0,29,16,0,13,17,20,,,0,Matches
Dønnum Aron,noNOR,3.4,Toulouse,25,1998,17.7,8,0,0,31,36,4,29,8,11,,,0,Matches
Ebonog Simon,cmCMR,3.0,Le Havre,18,2004,0.2,0,0,0,0,1,0,0,0,1,,,0,Matches
Ekitike Hugo,frFRA,4.0,Paris Saint-Germain,21,2002,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Elisor Simon,frFRA,4.0,Metz,24,1999,8.5,1,0,0,17,16,4,4,0,2,,,0,Matches
Embolo Breel,chSUI,4.0,Monaco,26,1997,2.0,0,0,0,3,7,3,1,1,3,,,0,Matches
Emegha Emanuel,nlNED,4.0,Strasbourg,20,2003,23.1,3,0,0,26,23,12,1,2,5,,,0,Matches
Estève Maxime,frFRA,2.0,Montpellier,21,2002,11.1,2,0,0,11,7,0,2,19,11,,,1,Matches
Estupiñan Oscar,coCOL,4.0,Metz,26,1996,2.9,0,0,0,6,3,1,1,0,4,,,0,Matches
Faivre Romain,frFRA,3.0,Lorient,25,1998,16.1,1,0,0,4,47,2,38,6,6,,,0,Matches
Fakili Ilhan,frFRA,3.0,Clermont Foot,17,2006,1.0,0,0,0,1,1,0,1,1,0,,,0,Matches
Fayad Khalil,frFRA,3.0,Montpellier,19,2004,11.4,2,0,0,22,24,1,13,14,15,,,0,Matches
Ferrah Ichem,frFRA,3.0,Lille,17,2005,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
Ferri Jordan,frFRA,3.0,Montpellier,31,1992,22.6,6,0,0,47,43,0,38,12,22,,,0,Matches
Fofana Malick,beBEL,3.5,Lyon,18,2005,6.2,0,0,0,3,12,0,20,5,4,,,0,Matches
Fofana Youssouf,frFRA,3.0,Monaco,24,1999,30.0,3,0,0,37,33,1,12,36,40,,,1,Matches
Foket Thomas,beBEL,2.3,Reims,28,1994,20.4,9,1,1,25,13,4,38,20,19,,,0,Matches
