player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Galdames Millán Pablo,clCHI,3.0,Cremonese,25,1996,8.2,2,0,0,14,4,0,22,10,9,,,0,Matches
Gallo Antonino,itITA,2.0,Lecce,22,2000,27.6,5,1,1,13,17,2,90,10,36,,,2,Matches
Gatti Federico,itITA,2.0,Juventus,24,1998,16.1,4,0,0,16,13,0,3,20,11,,,0,Matches
Gendrey Valentin,frFRA,2.0,Lecce,22,2000,34.5,4,0,0,23,27,1,75,37,57,,,0,Matches
Ghiglione Paolo,itITA,3.0,Cremonese,25,1997,7.9,4,0,0,16,7,2,39,4,11,,,0,Matches
Gila Mario,esESP,2.0,Lazio,21,2000,1.0,0,0,0,1,1,0,0,3,1,,,0,Matches
Gineitis Gvidas,ltLTU,3.0,Torino,18,2004,1.5,2,0,0,6,1,0,0,0,1,,,0,Matches
Giroud Olivier,frFRA,4.0,Milan,35,1986,23.8,8,1,1,39,24,16,5,1,5,,,0,Matches
Gollini Pierluigi,itITA,1.0,Fiorentina,27,1995,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Gollini Pierluigi,itITA,1.0,Napoli,27,1995,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Gonzàlez Joan,esESP,3.0,Lecce,20,2002,24.4,8,0,0,36,45,2,26,18,28,,,1,Matches
González Nicolás,arARG,3.5,Fiorentina,24,1998,15.0,3,0,0,16,55,4,31,4,9,,,0,Matches
Gosens Robin,deGER,3.0,Inter,28,1994,13.2,2,0,0,17,3,3,43,23,19,,,0,Matches
Grassi Alberto,itITA,3.0,Empoli,27,1995,13.3,3,0,0,22,13,0,0,24,22,,,0,Matches
