player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
De Silvestri Lorenzo,itITA,2.3,Bologna,34,1988,7.5,,2,,,,,,,,,,,3,,,,Matches
De Winter Koni,beBEL,2.0,Empoli,20,2002,11.4,,10,,,,,,,,,,,6,,,,Matches
Defrel Grégoire,mqMTQ,4.0,Sassuolo,31,1991,13.0,,7,,,,,,,,,,,2,,,,Matches
Degl'Innocenti Duccio,itITA,3.0,Empoli,19,2003,0.0,,0,,,,,,,,,,,1,,,,Matches
Demiral Merih,trTUR,2.0,Atalanta,24,1998,17.1,,29,,,,,,,,,,,23,,,,Matches
Demme Diego,deGER,3.0,Napoli,30,1991,1.6,,0,,,,,,,,,,,1,,,,Matches
Depaoli Fabio,itITA,3.0,Hellas Verona,25,1997,24.1,,30,,,,,,,,,,,19,,,,Matches
Depaoli Fabio,itITA,2.0,Sampdoria,25,1997,1.5,,3,,,,,,,,,,,1,,,,Matches
Dermaku Kastriot,alALB,2.0,Lecce,30,1992,0.4,,0,,,,,,,,,,,0,,,,Matches
Dessers Cyriel,ngNGA,4.0,Cremonese,27,1994,17.6,,4,,,,,,,,,,,2,,,,Matches
Dest Sergiño,usUSA,2.0,Milan,21,2000,3.7,,5,,,,,,,,,,,3,,,,Matches
Destro Mattia,itITA,4.0,Empoli,31,1991,6.4,,1,,,,,,,,,,,1,,,,Matches
Deulofeu Gerard,esESP,4.0,Udinese,28,1994,13.5,,5,,,,,,,,,,,2,,,,Matches
Di Carmine Samuel,itITA,4.0,Cremonese,33,1988,0.3,,0,,,,,,,,,,,0,,,,Matches
Di Francesco Federico,itITA,3.5,Lecce,28,1994,22.6,,16,,,,,,,,,,,9,,,,Matches
Di Gregorio Michele,itITA,1.0,Monza,25,1997,37.0,,0,,,,,,,,,,,4,,,,Matches
Di Lorenzo Giovanni,itITA,2.0,Napoli,28,1993,36.2,,29,,,,,,,,,,,29,,,,Matches
Di María Ángel,arARG,3.5,Juventus,34,1988,15.1,,5,,,,,,,,,,,7,,,,Matches
Dia Boulaye,snSEN,3.5,Salernitana,25,1996,28.0,,5,,,,,,,,,,,8,,,,Matches
Díaz Brahim,maMAR,3.0,Milan,22,1999,21.4,,15,,,,,,,,,,,7,,,,Matches
Dimarco Federico,itITA,2.4,Inter,24,1997,23.0,,25,,,,,,,,,,,18,,,,Matches
