player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,bps,value,was_home,transfers_in,transfers_out,opponent_team_id
505,10,1,90,0,0,0,0,0,5,5.2,1,2333,48825,14
80,10,0,0,0,0,0,0,0,0,4.0,0,575,1026,13
231,10,0,0,0,0,0,0,0,0,4.5,0,0,12,18
365,10,1,25,0,0,0,0,0,0,5.0,0,2311,8471,6
210,10,1,28,0,0,0,0,0,7,4.9,1,162,394,1
64,10,2,74,0,0,0,0,0,9,8.5,0,11735,66404,12
614,10,0,0,0,0,0,0,0,0,5.7,1,388,1854,15
624,10,2,90,0,0,0,0,0,10,7.8,1,31741,156651,15
423,10,4,90,0,0,0,0,0,18,5.9,1,284,706,4
647,10,0,0,0,0,0,0,0,0,5.5,0,0,5,10
555,10,0,0,0,0,0,0,0,0,4.5,1,0,224,9
344,10,1,90,0,0,0,0,0,2,3.9,0,2355,723,6
90,10,5,72,0,1,0,0,0,24,5.0,0,1023,4626,13
520,10,0,0,0,0,0,0,0,0,5.0,1,0,0,14
545,10,0,0,0,0,0,0,0,0,5.4,1,0,50,9
43,10,0,0,0,0,0,0,0,0,4.0,0,0,19146,12
523,10,0,0,0,0,0,0,0,0,4.5,1,0,318,14
444,10,1,76,0,0,0,0,0,6,4.4,0,4833,13888,16
196,10,0,0,0,0,0,0,0,0,4.0,1,0,180,1
169,10,16,80,2,0,1,0,3,56,4.9,1,512,927,11
725,10,1,18,0,0,0,0,0,3,5.4,0,377,212,3
508,10,1,90,0,0,0,0,0,5,4.7,1,2519,47988,14
509,10,0,0,0,0,0,0,0,0,4.5,1,0,75,14
305,10,0,0,0,0,0,0,0,0,4.5,0,0,299,17
695,10,0,45,0,0,0,0,0,-5,4.5,0,219,273,10
195,10,0,0,0,0,0,0,0,0,3.9,1,225,723,1
528,10,0,0,0,0,0,0,0,0,4.3,1,414,994,9
560,10,2,82,0,0,0,0,0,7,5.6,1,113871,27263,9
352,10,1,13,0,0,0,0,0,2,5.2,0,334,793,6
746,10,0,0,0,0,0,0,0,0,4.5,1,85,13,2
83,10,2,74,0,0,0,0,0,10,6.0,0,20060,4366,8
584,10,0,0,0,0,0,0,0,0,6.3,1,629,2261,7
359,10,0,0,0,0,0,0,0,0,4.5,0,0,16,6
134,10,0,0,0,0,0,0,0,0,4.5,0,0,15,8
491,10,2,90,0,0,0,0,0,13,5.4,0,9532,16530,19
60,10,0,0,0,0,0,0,0,0,4.5,0,1243,2156,12
632,10,0,0,0,0,0,0,0,0,4.4,0,126,987,10
625,10,0,0,0,0,0,0,0,0,5.6,1,70,7377,15
14,10,0,0,0,0,0,0,0,0,3.9,0,0,999,3
53,10,1,31,0,0,0,0,0,2,5.1,0,7861,10397,12
685,10,1,90,0,0,0,0,0,5,4.5,0,884,6430,13
61,10,0,0,0,0,0,0,0,0,4.5,0,0,547,12
670,10,2,90,0,0,0,1,0,9,4.7,1,147483,17276,9
676,10,2,61,0,0,0,0,0,5,5.0,1,5281,2871,1
259,10,0,0,0,0,0,0,0,0,4.9,1,342,532,5
611,10,0,0,0,0,0,0,0,0,4.0,1,0,282,15
93,10,0,0,0,0,0,0,0,0,4.5,0,0,3526,13
462,10,0,0,0,0,0,0,0,0,4.4,0,65,252,16
7,10,6,71,0,0,1,0,0,33,5.8,0,151960,47161,3
1,10,6,90,0,0,1,0,0,20,5.8,0,267422,39774,3
278,10,0,0,0,0,0,0,0,0,4.4,1,0,354,5
559,10,0,0,0,0,0,0,0,0,4.4,1,0,293,9
130,10,0,0,0,0,0,0,0,0,4.5,0,491,759,8
145,10,0,0,0,0,0,0,0,0,4.4,1,4051,17812,11
362,10,0,0,0,0,0,0,0,0,5.1,0,1184,4555,6
33,10,0,0,0,0,0,0,0,0,4.3,0,249,2959,12
717,10,3,65,0,0,0,0,0,8,6.8,1,2888,64901,7
617,10,0,0,0,0,0,0,0,0,4.9,1,0,61,15
412,10,0,0,0,0,0,0,0,0,5.0,1,0,3,4
627,10,2,90,0,0,0,4,0,6,4.5,0,2570,1299,10
316,10,0,0,0,0,0,0,0,0,4.9,1,95,7409,20
654,10,2,75,0,0,0,0,0,3,6.4,0,10698,17591,10
238,10,1,5,0,0,0,0,0,-1,6.5,0,19454,46402,18
172,10,1,9,0,0,0,0,0,2,4.9,1,139,138,11
665,10,2,90,0,0,0,4,0,9,4.5,0,2830,980,6
540,10,0,0,0,0,0,0,0,0,3.9,1,739,2608,9
244,10,1,14,0,0,0,0,0,2,4.9,0,242,403,18
151,10,7,90,0,0,1,0,1,36,4.4,1,33278,8257,11
222,10,0,0,0,0,0,0,0,0,4.0,0,0,4,18
12,10,0,0,0,0,0,0,0,0,4.9,1,72,2981,14
